market,tf,signal,dir,N,k_range,k_vol,H,n,mean_net_pct,win_rate,t_stat,excess_pct
BTCUSD,1h,wick,short,12,3.0,2.0,4,315,-0.10901713521617752,0.44761904761904764,-1.4008984744871769,0.02331589260304736
BTCUSD,1h,wick,short,12,3.0,2.0,24,299,-0.2147218699949135,0.4882943143812709,-1.1851582355720072,0.07744432906423226
BTCUSD,1h,capit,long,12,3.0,3.0,4,763,-0.13102846070461166,0.47706422018348627,-1.919261420405,-0.06336148852383636
BTCUSD,1h,capit,long,12,3.0,3.0,24,671,-0.3996476084394737,0.4843517138599106,-2.9451654825620786,-0.4918138074986193
BTCUSD,1h,capit,short,12,3.0,3.0,4,722,-0.2032461460009538,0.4362880886426593,-3.6377081656847574,-0.07091311818172896
BTCUSD,1h,capit,short,12,3.0,3.0,24,629,-0.534131641368406,0.43402225755166934,-3.8865980710799186,-0.2419654423092602
BTCUSD,1h,wick,long,12,3.0,3.0,4,326,-0.006484791233110162,0.4723926380368098,-0.08345545061531028,0.06118218094766513
BTCUSD,1h,wick,long,12,3.0,3.0,24,310,-0.2946852398161638,0.47419354838709676,-1.5734618789780779,-0.3868514388753094
BTCUSD,1h,wick,short,12,3.0,3.0,4,290,-0.09576909360760878,0.4482758620689655,-1.1780002271572023,0.03656393421161609
BTCUSD,1h,wick,short,12,3.0,3.0,24,278,-0.19289162136843613,0.4892086330935252,-1.0534339351535016,0.09927457769070964
BTCUSD,1h,capit,long,24,1.5,1.5,4,1690,0.00556297405259364,0.5159763313609468,0.12163046169189307,0.07322994623336894
BTCUSD,1h,capit,long,24,1.5,1.5,24,1170,0.006177658683383888,0.5367521367521367,0.055674646822695545,-0.08598854037576167
BTCUSD,1h,capit,short,24,1.5,1.5,4,1853,-0.21001677245389064,0.4635725849973017,-5.953932794329896,-0.07768374463466578
BTCUSD,1h,capit,short,24,1.5,1.5,24,1215,-0.540711787892587,0.45267489711934156,-5.570555727637121,-0.24854558883344124
BTCUSD,1h,wick,long,24,1.5,1.5,4,1435,-0.10325605855268993,0.5149825783972125,-2.2892639026168617,-0.03558908637191464
BTCUSD,1h,wick,long,24,1.5,1.5,24,1056,-0.13911615014123566,0.5208333333333334,-1.2019504022225929,-0.23128234920038124
BTCUSD,1h,wick,short,24,1.5,1.5,4,1226,-0.18709978480665332,0.42251223491027734,-4.376439341213874,-0.05476675698742846
BTCUSD,1h,wick,short,24,1.5,1.5,24,928,-0.3954386734262195,0.4676724137931034,-3.7997647428096664,-0.10327247436707382
BTCUSD,1h,capit,long,24,1.5,2.0,4,1571,-0.003386535153880294,0.513049013367282,-0.07069768765104875,0.06428043702689501
BTCUSD,1h,capit,long,24,1.5,2.0,24,1102,-0.07040190150945778,0.5372050816696915,-0.6224234790645047,-0.16256810056860338
BTCUSD,1h,capit,short,24,1.5,2.0,4,1692,-0.2077266299516786,0.46217494089834515,-5.89431170380711,-0.07539360213245369
BTCUSD,1h,capit,short,24,1.5,2.0,24,1148,-0.5601820781083837,0.4520905923344948,-5.702676858564674,-0.26801587904923796
