time,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-01-31 21:00:00,94038.5220,7358457923.3868,3.3546,1.9814,2.6169,0.9644
2026-01-31 22:00:00,93781.9290,7327540902.0431,3.3735,1.9399,2.6418,0.9969
2026-01-31 23:00:00,93551.2980,7362636457.7596,3.4509,1.9390,2.7395,1.0166
2026-02-01 00:00:00,93455.7340,7370612652.8090,3.4960,1.9196,2.7876,0.7956
2026-02-01 01:00:00,93293.1390,7323725843.7518,3.4314,1.9651,2.7144,1.6424
2026-02-01 02:00:00,93540.9130,7377453418.7277,3.2068,1.9180,2.7182,0.6073
2026-02-01 03:00:00,93479.8950,7369203762.4921,3.2129,1.9163,2.7178,0.6651
2026-02-01 04:00:00,93744.6590,7399755385.9247,3.1886,1.9124,2.7025,0.8383
2026-02-01 05:00:00,93644.3560,7358938707.4684,3.1367,1.9324,2.6383,2.2022
2026-02-01 06:00:00,93285.9280,7300827254.4712,3.0918,1.9513,2.5873,1.7366
2026-02-01 07:00:00,93208.7430,7300192639.6287,3.0487,1.9496,2.5456,0.6178
2026-02-01 08:00:00,93081.3120,7313897867.4496,3.0405,1.9431,2.5476,1.2967
2026-02-01 09:00:00,93085.4160,7353366213.7944,3.0232,1.9287,2.5507,1.7855
2026-02-01 10:00:00,92235.1740,7216683608.8712,3.0096,1.8948,2.5349,0.5402
2026-02-01 11:00:00,91899.7110,7233628432.1742,3.0151,1.8855,2.5435,1.2394
2026-02-01 12:00:00,91727.5520,7193329664.3712,3.0256,1.8986,2.5483,1.7488
2026-02-01 13:00:00,91339.8430,7149744952.6209,3.0007,1.8868,2.5308,0.8365
2026-02-01 14:00:00,91981.6760,7190189216.5848,2.9466,1.8499,2.4676,1.4406
2026-02-01 15:00:00,92191.9200,7149935136.4080,2.9545,1.8258,2.4704,0.8456
2026-02-01 16:00:00,92604.5700,7174213526.8318,2.9310,1.8413,2.4488,1.2014
2026-02-01 17:00:00,92407.8970,7181178209.1456,2.9284,1.8492,2.4478,0.5411
